Wall time,Step,Value
1690444432.1226804,0,4.839704990386963
1690444463.4782019,1,4.330793857574463
1690444493.428906,2,4.224454402923584
1690444523.3470676,3,4.14998722076416
1690444552.7124906,4,4.08518648147583
1690444581.5888102,5,4.027292728424072
1690444608.8826659,6,3.982231378555298
1690444638.2477138,7,3.9404492378234863
1690444669.3621411,8,3.9084551334381104
1690444699.1226637,9,3.8761370182037354
1690444729.8334918,10,3.849092721939087
1690444760.9925387,11,3.8243467807769775
1690444791.8949337,12,3.8023488521575928
1690444823.2880626,13,3.7816052436828613
1690444854.0727174,14,3.7585792541503906
1690444884.904295,15,3.7409586906433105
1690445726.528735,16,3.722597122192383
1690445754.4488277,17,3.7066006660461426
1690445785.83345,18,3.691019058227539
1690445817.2576365,19,3.6772782802581787
1690445846.9033005,20,3.6631932258605957
1690445876.6101663,21,3.6494827270507812
1690445905.7111628,22,3.6346476078033447
1690445935.6671948,23,3.6222143173217773
1690445965.7097006,24,3.6088786125183105
1690445996.07481,25,3.597102642059326
1690446026.719137,26,3.586493492126465
1690446056.7685564,27,3.5783894062042236
1690446087.991451,28,3.5617172718048096
1690446118.7946498,29,3.552112102508545
1690446148.811487,30,3.5397536754608154
1690446178.8717036,31,3.5301146507263184
1690446205.032845,32,3.5203707218170166
1690446233.601898,33,3.509228467941284
1690446263.6687648,34,3.4990222454071045
1690446293.332671,35,3.4926536083221436
1690446323.801479,36,3.480276346206665
1690446352.1916032,37,3.47200083732605
1690446380.0095959,38,3.4618685245513916
1690446410.168848,39,3.454481601715088
1690446439.196184,40,3.4433958530426025
1690446468.6073096,41,3.4346327781677246
1690446497.1323562,42,3.4266257286071777
1690446527.3873827,43,3.418030023574829
1690446558.459377,44,3.4117796421051025
1690446589.8875375,45,3.4019556045532227
1690446618.516217,46,3.3920583724975586
1690446647.2521808,47,3.385774612426758
1690446676.878051,48,3.3755664825439453
1690446707.4227507,49,3.3681492805480957
1690446737.8665316,50,3.361213207244873
1690446767.7653005,51,3.352428913116455
1690446798.0606058,52,3.344589948654175
1690446827.479558,53,3.3373115062713623
1690446855.860233,54,3.3279783725738525
1690446881.0523574,55,3.3223915100097656
1690446908.961022,56,3.3151566982269287
1690446939.552487,57,3.3072845935821533
1690446970.2309477,58,3.303443431854248
1690447001.9206576,59,3.2949001789093018
1690447033.3951368,60,3.2873833179473877
1690447063.8408172,61,3.280153512954712
1690447094.1004226,62,3.2741246223449707
1690447152.2427142,63,3.2662220001220703
